country,,Treaty Name,Treaty Acronym,Ratification Date,Signature Date
New Zealand,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1989-12-10 00:00:00,1986-01-14 00:00:00
South,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1998-12-10 00:00:00,1993-01-29 00:00:00
Guinea,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1989-10-10 00:00:00,1986-05-30 00:00:00
Sudan,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2021-08-10 00:00:00,1986-06-04 00:00:00
Sao Tome and Principe,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2017-01-10 00:00:00,2000-09-06 00:00:00
Ireland,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2002-04-11 00:00:00,1992-09-28 00:00:00
Costa Rica,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1993-11-11 00:00:00,1985-02-04 00:00:00
Paraguay,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1990-03-12 00:00:00,1989-10-23 00:00:00
Algeria,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1989-09-12 00:00:00,1985-11-26 00:00:00
Italy,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1989-01-12 00:00:00,1985-02-04 00:00:00
Bolivia,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1999-04-12 00:00:00,1985-02-04 00:00:00
Belarus,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1987-03-13 00:00:00,1985-12-19 00:00:00
Madagascar,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2005-12-13 00:00:00,2001-10-01 00:00:00
Fiji,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2016-03-14 00:00:00,2016-03-01 00:00:00
Hungary,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1987-04-15 00:00:00,1986-11-28 00:00:00
Bulgaria,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1986-12-16 00:00:00,1986-06-10 00:00:00
Cuba,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1995-05-17 00:00:00,1986-01-27 00:00:00
Togo,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1987-11-18 00:00:00,1987-03-25 00:00:00
France,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1986-02-18 00:00:00,1985-02-04 00:00:00
Cyprus,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1991-07-18 00:00:00,1985-10-09 00:00:00
Guyana,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1988-05-19 00:00:00,1988-01-25 00:00:00
United States,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1994-10-21 00:00:00,1988-04-18 00:00:00
Senegal,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1986-08-21 00:00:00,1985-02-04 00:00:00
Spain,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1987-10-21 00:00:00,1985-02-04 00:00:00
Netherlands,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1988-12-21 00:00:00,1985-02-04 00:00:00
Morocco,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1993-06-21 00:00:00,1986-01-08 00:00:00
Andorra,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2006-09-22 00:00:00,2002-08-05 00:00:00
Pakistan,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2010-06-23 00:00:00,2008-04-17 00:00:00
Mexico,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1986-01-23 00:00:00,1985-03-18 00:00:00
Tunisia,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1988-09-23 00:00:00,1987-08-26 00:00:00
Iceland,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1996-10-23 00:00:00,1985-02-04 00:00:00
Guinea-Bissau,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2013-09-24 00:00:00,2000-09-12 00:00:00
Panama,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1987-08-24 00:00:00,1985-02-22 00:00:00
Canada,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1987-06-24 00:00:00,1985-08-23 00:00:00
Ukraine,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1987-02-24 00:00:00,1986-02-27 00:00:00
Argentina,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1986-09-24 00:00:00,1985-02-04 00:00:00
Uruguay,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1986-10-24 00:00:00,1985-02-04 00:00:00
Dominican Republic,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2012-01-24 00:00:00,1985-02-04 00:00:00
Sierra Leone,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2001-04-25 00:00:00,1985-03-18 00:00:00
Comoros,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2017-05-25 00:00:00,2000-09-22 00:00:00
Belgium,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1999-06-25 00:00:00,1985-02-04 00:00:00
Nauru,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2012-09-26 00:00:00,2001-11-12 00:00:00
Poland,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1989-07-26 00:00:00,1986-01-13 00:00:00
Laos,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2012-09-26 00:00:00,2010-09-21 00:00:00
San Marino,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2006-11-27 00:00:00,2002-09-18 00:00:00
Denmark,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1987-05-27 00:00:00,1985-02-04 00:00:00
Brazil,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,1989-09-28 00:00:00,1985-09-23 00:00:00
Gambia,,"Amendments to articles 17 (7) and 18 (5) of the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",CAT,2018-09-28 00:00:00,1985-10-23 00:00:00
