Code,Score,Action 
10.0,0.0,"Make statement, not specified below      "
11.0,-0.1,Decline comment         
12.0,-0.4,Make pessimistic comment        
13.0,0.4,Make optimistic comment        
14.0,0.0,Consider policy option        
15.0,0.0,Acknowledge or claim responsibility       
16.0,3.4,Make empathetic comment        
17.0,0.0,Engage in symbolic act       
18.0,3.4,Express accord         
20.0,3.0,"Appeal, not specified below       "
21.0,3.4,"Appeal for cooperation, not specified below     "
22.0,3.4,Appeal for policy support       
23.0,3.4,"Appeal for aid, not specified below     "
24.0,-0.3,"Appeal for political reform, not specified below    "
25.0,-0.3,Appeal to yield        
26.0,4.0,Appeal to others to meet or negotiate    
27.0,4.0,Appeal to others to settle dispute     
28.0,4.0,Appeal to others to engage in mediation    
30.0,4.0,"Express intent to cooperate, not specified below    "
31.0,5.2,"Express intent to engage in material cooperation,  not specified below"
32.0,4.5,Express intent to provide policy support     
33.0,5.2,"Express intent to provide aid, not specified below   "
34.0,7.0,"Express intent to bring political reform, not specified below  "
35.0,7.0,"Express intent to yield, not specified below    "
36.0,4.0,Express intent to meet or negotiate     
37.0,5.0,Express intent to settle dispute      
38.0,7.0,Express intent to accept mediation      
39.0,5.0,Express intent to mediate       
40.0,1.0,"Consult, not specified below       "
41.0,1.0,Discuss by telephone        
42.0,1.9,Make a visit        
43.0,2.8,Host a visit        
44.0,2.5,Meet at a â€œthirdâ€ location      
45.0,5.0,Mediate          
46.0,7.0,Engage in negotiation        
50.0,3.5,"Engage in diplomatic cooperation, not specified below    "
51.0,3.4,Praise or endorse        
52.0,3.5,Defend verbally         
53.0,3.8,Rally support on behalf of      
54.0,6.0,Grant diplomatic recognition        
55.0,7.0,Apologize          
56.0,7.0,Forgive          
57.0,8.0,Sign formal agreement        
60.0,6.0,"Engage in material cooperation, not spec below    "
61.0,6.4,Cooperate economically         
62.0,7.4,Cooperate militarily         
63.0,7.4,Engage in judicial cooperation       
64.0,7.0,Share intelligence or information       
70.0,7.0,"Provide aid, not specified below      "
71.0,7.4,Provide economic aid        
72.0,8.3,Provide military aid        
73.0,7.4,Provide humanitarian aid        
74.0,8.5,Provide military protection or peacekeeping      
75.0,7.0,Grant asylum         
80.0,5.0,"Yield, not specified below       "
81.0,5.0,"Ease administrative sanctions, not specified below     "
82.0,5.0,Ease popular protest        
83.0,5.0,Accede to demands for political reform     
84.0,7.0,"Return, release, not specified below      "
85.0,7.0,"Ease economic sanctions, boycott, embargo      "
86.0,9.0,Allow international involvement        
87.0,9.0,De-escalate military engagement        
90.0,-2.0,"Investigate, not specified below       "
91.0,-2.0,"Investigate crime, corruption        "
92.0,-2.0,Investigate human rights abuses       
93.0,-2.0,Investigate military action        
94.0,-2.0,Investigate war crimes        
100.0,-5.0,"Demand, not specified below       "
101.0,-5.0,"Demand information, investigation        "
102.0,-5.0,Demand policy support        
103.0,-5.0,"Demand aid, protection, or peacekeeping      "
104.0,-5.0,"Demand political reform, not specified below     "
105.0,-5.0,Demand mediation         
106.0,-5.0,Demand withdrawal         
107.0,-5.0,Demand ceasefire         
